field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1628572651,-49.12550557081806,176.53554258241758,176.53554258241758,1,-17.608642578125,-17.608642578125,-17.608642578125,0.12158203124999999,0.12158203124999999,0.12158203124999999
1628572651,-34.298534798534796,189.26043956043958,189.26043956043958,1,-14.46533203125,-14.46533203125,-14.46533203125,0.128173828125,0.128173828125,0.128173828125
1628572652,-30.725770757020758,193.92026098901098,193.92026098901098,1,-3.96728515625,-3.96728515625,-3.96728515625,0.155517578125,0.155517578125,0.155517578125
1628572652,-30.54713255494505,192.30724587912087,192.30724587912087,1,-16.29638671875,-16.29638671875,-16.29638671875,0.1953125,0.1953125,0.1953125
1628572653,-31.440323565323563,191.41112637362636,191.41112637362636,1,11.474609375,11.474609375,11.474609375,0.18017578125,0.18017578125,0.18017578125
1628572653,-31.08304716117216,189.97733516483518,189.97733516483518,1,-6.16455078125,-6.16455078125,-6.16455078125,0.165283203125,0.165283203125,0.165283203125
1628572653,-28.760750534188034,189.79811126373627,189.79811126373627,1,11.199951171875,11.199951171875,11.199951171875,0.22216796875,0.22216796875,0.22216796875
1628572654,-29.653941544566546,189.61888736263734,189.61888736263734,1,-1.3427734375,-1.3427734375,-1.3427734375,0.26220703125,0.26220703125,0.26220703125
1628572654,-31.440323565323563,188.54354395604398,188.54354395604398,1,2.532958984375,2.532958984375,2.532958984375,0.200439453125,0.200439453125,0.200439453125
1628572685,-28.224835927960925,157.00013736263736,157.00013736263736,1,0.518798828125,0.518798828125,0.518798828125,0.017333984375,0.017333984375,0.017333984375
1628572685,-41.97997748778998,175.46019917582416,175.46019917582416,1,-2.197265625,-2.197265625,-2.197265625,0.031982421875,0.031982421875,0.031982421875
1628572686,-36.799469627594625,174.56407967032968,174.56407967032968,1,-1.220703125,-1.220703125,-1.220703125,0.017822265625,0.017822265625,0.017822265625
1628572686,-36.08491681929182,174.56407967032968,174.56407967032968,1,-1.15966796875,-1.15966796875,-1.15966796875,0.03125,0.03125,0.03125
1628572686,-37.15674603174603,173.13028846153844,173.13028846153844,1,-2.25830078125,-2.25830078125,-2.25830078125,0.017822265625,0.017822265625,0.017822265625
1628572687,-36.799469627594625,174.56407967032968,174.56407967032968,1,-2.13623046875,-2.13623046875,-2.13623046875,0.027587890625,0.027587890625,0.027587890625
1628572687,-36.08491681929182,173.48873626373626,173.48873626373626,1,-1.190185546875,-1.190185546875,-1.190185546875,0.02783203125,0.02783203125,0.02783203125
1628572687,-38.04993704212454,174.02640796703295,174.02640796703295,1,-2.13623046875,-2.13623046875,-2.13623046875,0.020263671875,0.020263671875,0.020263671875
1628572688,-37.15674603174603,174.20563186813186,174.20563186813186,1,-2.685546875,-2.685546875,-2.685546875,0.02685546875,0.02685546875,0.02685546875
1628572688,-38.04993704212454,172.95106456043956,172.95106456043956,1,-3.448486328125,-3.448486328125,-3.448486328125,0.015869140625,0.015869140625,0.015869140625
1628572688,-36.08491681929182,174.92252747252746,174.92252747252746,1,-2.532958984375,-2.532958984375,-2.532958984375,0.025634765625,0.025634765625,0.025634765625
1628572689,-36.97810782967033,174.38485576923077,174.38485576923077,1,-0.640869140625,-0.640869140625,-0.640869140625,0.030029296875,0.030029296875,0.030029296875
1628572689,-37.15674603174603,174.56407967032968,174.56407967032968,1,-0.823974609375,-0.823974609375,-0.823974609375,0.039306640625,0.039306640625,0.039306640625
1628572689,-36.97810782967033,173.66796016483516,173.66796016483516,1,-1.739501953125,-1.739501953125,-1.739501953125,0.0361328125,0.0361328125,0.0361328125
1628572690,-37.692660637973134,174.02640796703295,174.02640796703295,1,-1.373291015625,-1.373291015625,-1.373291015625,0.033447265625,0.033447265625,0.033447265625
1628572690,-36.44219322344322,173.48873626373626,173.48873626373626,1,-2.288818359375,-2.288818359375,-2.288818359375,0.024658203125,0.024658203125,0.024658203125
1628572691,-37.335384233821735,173.30951236263735,173.30951236263735,1,-1.708984375,-1.708984375,-1.708984375,0.040283203125,0.040283203125,0.040283203125
1628572691,-37.15674603174603,174.56407967032968,174.56407967032968,1,-0.762939453125,-0.762939453125,-0.762939453125,0.02685546875,0.02685546875,0.02685546875
1628572691,-38.04993704212454,173.30951236263735,173.30951236263735,1,-2.3193359375,-2.3193359375,-2.3193359375,0.0419921875,0.0419921875,0.0419921875
1628572735,-17.3279056013431,175.81864697802197,175.81864697802197,1,-22.735595703125,-22.735595703125,-22.735595703125,0.090576171875,0.090576171875,0.090576171875
1628572735,-34.6558112026862,171.33804945054945,171.33804945054945,1,-9.033203125,-9.033203125,-9.033203125,0.123291015625,0.123291015625,0.123291015625
1628572736,-34.6558112026862,173.84718406593404,173.84718406593404,1,-4.94384765625,-4.94384765625,-4.94384765625,0.08837890625,0.08837890625,0.08837890625
1628572736,-33.58398199023199,170.62115384615385,170.62115384615385,1,0.701904296875,0.701904296875,0.701904296875,0.090087890625,0.090087890625,0.090087890625
1628572736,-35.37036401098901,173.13028846153844,173.13028846153844,1,-0.18310546875,-0.18310546875,-0.18310546875,0.076171875,0.076171875,0.076171875
1628572737,-34.298534798534796,172.41339285714284,172.41339285714284,1,3.2958984375,3.2958984375,3.2958984375,0.06787109375,0.06787109375,0.06787109375
1628572737,-33.76262019230769,172.23416895604396,172.23416895604396,1,-3.41796875,-3.41796875,-3.41796875,0.069091796875,0.069091796875,0.069091796875
1628572737,-34.834449404761905,172.59261675824175,172.59261675824175,1,1.251220703125,1.251220703125,1.251220703125,0.0771484375,0.0771484375,0.0771484375
1628572738,-35.01308760683761,171.69649725274724,171.69649725274724,1,-1.739501953125,-1.739501953125,-1.739501953125,0.07666015625,0.07666015625,0.07666015625
1628572738,-34.11989659645909,174.02640796703295,174.02640796703295,1,-2.166748046875,-2.166748046875,-2.166748046875,0.084228515625,0.084228515625,0.084228515625
1628572738,-34.834449404761905,172.59261675824175,172.59261675824175,1,-2.197265625,-2.197265625,-2.197265625,0.091552734375,0.091552734375,0.091552734375
1628572739,-34.6558112026862,172.41339285714284,172.41339285714284,1,-0.701904296875,-0.701904296875,-0.701904296875,0.08837890625,0.08837890625,0.08837890625
1628572739,-35.191725808913304,172.95106456043956,172.95106456043956,1,-1.77001953125,-1.77001953125,-1.77001953125,0.078369140625,0.078369140625,0.078369140625
1628572740,-35.54900221306471,175.10175137362637,175.10175137362637,1,-1.922607421875,-1.922607421875,-1.922607421875,0.0517578125,0.0517578125,0.0517578125
1628572743,-23.40160447191697,171.51727335164836,171.51727335164836,1,-2.471923828125,-2.471923828125,-2.471923828125,0.06054687500000001,0.06054687500000001,0.06054687500000001
1628572743,-43.409083104395606,168.29124313186813,168.29124313186813,1,-0.79345703125,-0.79345703125,-0.79345703125,0.0625,0.0625,0.0625
1628572744,-46.267294337606835,171.87572115384614,171.87572115384614,1,-1.46484375,-1.46484375,-1.46484375,0.073974609375,0.073974609375,0.073974609375
1628572744,-47.875038156288156,173.13028846153844,173.13028846153844,1,-0.762939453125,-0.762939453125,-0.762939453125,0.07958984375,0.07958984375,0.07958984375
1628572780,-31.08304716117216,185.67596153846154,185.67596153846154,1,-3.570556640625,-3.570556640625,-3.570556640625,0.0927734375,0.0927734375,0.0927734375
1628572781,-24.83071008852259,184.77984203296703,184.77984203296703,1,-3.326416015625,-3.326416015625,-3.326416015625,0.086181640625,0.086181640625,0.086181640625
1628572781,-25.366624694749692,183.1668269230769,183.1668269230769,1,-2.349853515625,-2.349853515625,-2.349853515625,0.0869140625,0.0869140625,0.0869140625
1628572782,-23.758880876068375,185.13828983516484,185.13828983516484,1,-1.220703125,-1.220703125,-1.220703125,0.07763671875,0.07763671875,0.07763671875
1628572783,-25.187986492673993,185.13828983516484,185.13828983516484,1,-3.60107421875,-3.60107421875,-3.60107421875,0.07861328125,0.07861328125,0.07861328125
1628572783,-25.9025393009768,183.70449862637363,183.70449862637363,1,-4.33349609375,-4.33349609375,-4.33349609375,0.040283203125,0.040283203125,0.040283203125
1628572784,-25.187986492673993,182.98760302197803,182.98760302197803,1,-2.227783203125,-2.227783203125,-2.227783203125,0.072021484375,0.072021484375,0.072021484375
1628572845,-62.16609432234432,159.8677197802198,159.8677197802198,1,-10.833740234375,-10.833740234375,-10.833740234375,0.15283203125,0.15283203125,0.15283203125
1628572846,-48.58959096459096,141.58688186813185,141.58688186813185,1,-12.0849609375,-12.0849609375,-12.0849609375,0.11083984375,0.11083984375,0.11083984375
1628572847,-43.766359508547005,171.87572115384614,171.87572115384614,1,-11.29150390625,-11.29150390625,-11.29150390625,0.126220703125,0.126220703125,0.126220703125
1628572848,-71.99119543650794,157.17936126373627,157.17936126373627,1,-11.8408203125,-11.8408203125,-11.8408203125,0.13134765625,0.13134765625,0.13134765625
1628572849,-73.42030105311355,153.59488324175825,153.59488324175825,1,-1.03759765625,-1.03759765625,-1.03759765625,0.066162109375,0.066162109375,0.066162109375
1628572849,-72.52711004273505,153.77410714285713,153.77410714285713,1,-2.50244140625,-2.50244140625,-2.50244140625,0.0458984375,0.0458984375,0.0458984375
1628572850,-71.99119543650794,152.16109203296702,152.16109203296702,1,-1.068115234375,-1.068115234375,-1.068115234375,0.116455078125,0.116455078125,0.116455078125
1628572851,-73.06302464896214,152.16109203296702,152.16109203296702,1,-2.532958984375,-2.532958984375,-2.532958984375,0.088623046875,0.088623046875,0.088623046875
1628572851,-71.63391903235653,153.23643543956044,153.23643543956044,1,-3.143310546875,-3.143310546875,-3.143310546875,0.0498046875,0.0498046875,0.0498046875
1628572855,-52.51963141025641,159.15082417582414,159.15082417582414,1,-12.664794921875,-12.664794921875,-12.664794921875,0.1044921875,0.1044921875,0.1044921875
1628572856,-36.97810782967033,170.44192994505494,170.44192994505494,1,-13.61083984375,-13.61083984375,-13.61083984375,0.149169921875,0.149169921875,0.149169921875
1628572857,-40.01495726495727,192.12802197802196,192.12802197802196,1,-14.923095703125,-14.923095703125,-14.923095703125,0.10791015625,0.10791015625,0.10791015625
1628572857,-45.73137973137973,196.0709478021978,196.0709478021978,1,-1.251220703125,-1.251220703125,-1.251220703125,0.1484375,0.1484375,0.1484375
1628572858,-45.91001793345543,195.53327609890107,195.53327609890107,1,-1.28173828125,-1.28173828125,-1.28173828125,0.06787109375,0.06787109375,0.06787109375
1628572858,-46.80320894383394,194.99560439560437,194.99560439560437,1,-1.5869140625,-1.5869140625,-1.5869140625,0.11328125,0.11328125,0.11328125
1628572859,-46.98184714590965,196.6086195054945,196.6086195054945,1,-0.91552734375,-0.91552734375,-0.91552734375,0.128173828125,0.128173828125,0.128173828125
1628572860,-48.232314560439555,196.0709478021978,196.0709478021978,1,1.190185546875,1.190185546875,1.190185546875,0.191650390625,0.191650390625,0.191650390625
1628572863,-66.63204937423687,204.49447115384615,204.49447115384615,1,-11.016845703125,-11.016845703125,-11.016845703125,0.105224609375,0.105224609375,0.105224609375
1628572864,-52.69826961233211,183.70449862637363,183.70449862637363,1,-12.20703125,-12.20703125,-12.20703125,0.107421875,0.107421875,0.107421875
1628572864,-58.41469207875458,176.53554258241758,176.53554258241758,1,-15.2587890625,-15.2587890625,-15.2587890625,0.1484375,0.1484375,0.1484375
1628572864,-58.236053876678874,170.97960164835163,170.97960164835163,1,-2.410888671875,-2.410888671875,-2.410888671875,0.02197265625,0.02197265625,0.02197265625
1628572865,-59.48652129120879,170.80037774725272,170.80037774725272,1,-4.852294921875,-4.852294921875,-4.852294921875,0.123291015625,0.123291015625,0.123291015625
1628572865,-59.30788308913309,171.69649725274724,171.69649725274724,1,-1.52587890625,-1.52587890625,-1.52587890625,0.064453125,0.064453125,0.064453125
1628572866,-58.771968482905976,168.64969093406592,168.64969093406592,1,-1.495361328125,-1.495361328125,-1.495361328125,0.1083984375,0.1083984375,0.1083984375
1628572866,-58.59333028083027,168.470467032967,168.470467032967,1,-1.46484375,-1.46484375,-1.46484375,0.1513671875,0.1513671875,0.1513671875
1628572866,-57.342862866300365,168.29124313186813,168.29124313186813,1,-0.9765625,-0.9765625,-0.9765625,0.093017578125,0.093017578125,0.093017578125
1628572867,-58.41469207875458,168.64969093406592,168.64969093406592,1,-4.5166015625,-4.5166015625,-4.5166015625,0.174560546875,0.174560546875,0.174560546875
1628572867,-59.30788308913309,167.7535714285714,167.7535714285714,1,0.091552734375,0.091552734375,0.091552734375,0.079833984375,0.079833984375,0.079833984375
